place_id,hours_display,created_at,updated_at
ChIJyRLXBlJYHS4RWNj0yvAvSAQ,06.00–23.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJ9RWUkaZZHS4RYeuZOYAMQ-4,07.00–02.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJ6fOdOEBZHS4RcV3VfZzhYx0,06.00–00.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJhx6zl0BZHS4RGNla_oPoIJ0,07.00–23.30.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJPa6swGtZHS4RrbIlRvgBgok,08.00–23.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJDcJgropZHS4RKuh8s52jy9U,Setiap hari 08.00–21.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJIRuUuwNZHS4RrhnXINPqQQ4,09.00–23.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJC3_RpddZHS4RMiDp7-6TemY,07.00–23.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJE8-LfABZHS4R_MsSOwiHNL8,08.00–23.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJBVWfsoFZHS4Rakb44yanMjs,09.00–23.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJG-xwV2ZZHS4R0WyGi5bbvoM,08.00–22.30.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJ4U6K9hdZHS4RKE7QPIKbn4Y,07.00–23.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJ71m2hZZZHS4RrOgKJYP_7zw,06.00–22.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJKX36yixZHS4ROQfX-hNWhj0,07.00–00.00.,2026-01-31 14:56:29,2026-01-31 15:09:25
ChIJpVctpWBZHS4RdUbSlT-pSl8,24 jam.,2026-01-31 14:56:29,2026-01-31 15:09:25
