id,user_id,shop_id,place_id,rating,review_text,created_at,updated_at,rating_makanan,rating_layanan,rating_suasana
15,5,4,ChIJhx6zl0BZHS4RGNla_oPoIJ0,1.0,Agak gimana gitu pesen nasi goreng dengan harga yg gak murah tp ayamnya dikasi bagian brutu(pantat) gak boleh tukar ayamnya..sekelas cafe besar di ponti dengan harga yg lumayan tp pelanggan di kasi bagian pantat..mohon jd perhatian karna g semua org suka dgn bagian itu,2026-04-03T15:44:52.684747,2026-04-03T15:44:52.685361,,2,2
17,6,4,ChIJhx6zl0BZHS4RGNla_oPoIJ0,5.0,Tempatnya bagus banget buat nongki sama temen ataupun sambil buat tugas kuliah lama2.. makanannya enak dan coffenya juga enak.. ada makanan yang kids friendly juga kok.. tadi makanannya lupa ke foto,2026-04-03T15:52:25.035563,2026-04-03T15:52:25.035578,,5,5
18,8,4,ChIJhx6zl0BZHS4RGNla_oPoIJ0,5.0,"Suasana cafenya bagus namun sedikit minimalis tidak terlalu luas. Untuk makanan dan minuman enak sesuai dengan harganya walaupun ada sedikit kekurangan tapi tidak terlalu bermasalah. Pelayanan cukup gesit dan ramah. Tersedia photobooth berbayar, dan ada beberapa kucing yang ramah minta jatah tulang😂 dan juga yang penting berkumpul bersama orang sayang",2026-04-03T16:05:05.428289,2026-04-03T16:05:05.428306,,4,4
22,9,2,ChIJ9RWUkaZZHS4RYeuZOYAMQ-4,5.0,"Saya berada di cafee aming podomoro, tepatnya dikota pontianak. tenpatnya rekomended deh, bersih, sejuk, nyaman, cocok untuk santai kerjaan atau temu janji. Servis juga baik. Karyawan ramah",2026-04-19T16:59:48.370276,2026-04-19T16:59:48.370841,,5,5
23,9,5,ChIJPa6swGtZHS4RrbIlRvgBgok,5.0,"Minuman dan makanan nya enak semuanya, pelayanan nya sangat baik, suasana tempat nya nyaman untuk tempat bersantai santai bersama keluarga dan teman teman, tempat nya ok la Cafe 5 CM Coffee",2026-04-19T17:02:13.636256,2026-04-19T17:02:13.636274,,5,5
24,9,5,ChIJPa6swGtZHS4RrbIlRvgBgok,5.0,"Tempat nya nyaman ada indoor atau outdoor, menu makanan bervariasi, kopi nya enak dan nyaman di lambung yg mudah naik asam lambung ku. Berani coba santai disini, pas waktu jam istirahat, suasana enak dan tempatnya jg gak bgitu sempit ya.",2026-04-19T17:05:49.029701,2026-04-19T17:05:49.029710,,5,5
25,9,5,ChIJPa6swGtZHS4RrbIlRvgBgok,3.0,"Maaf sebelumnya, jadi waktu itu aku take away coffe 5 cm 15 cup, sempet shock karna rasanya masam sedikit basi gitu, aku dan teman teman juga males mau balik buat komplain karna lokasi tempat kerja cukup jauh kesana,kedepannya tolong dirasa in dulu yaa sebelum kasi ke konsumen terimakasih.",2026-04-19T17:10:31.598466,2026-04-19T17:10:31.598477,,4,3
26,9,7,ChIJIRuUuwNZHS4RrhnXINPqQQ4,5.0,"Beli cheesecake nya untuk di bungkus, enakkkk
Suka banget ngga terlalu manis kejunya berasa banget",2026-04-21T03:34:51.797195,2026-04-21T03:34:51.797813,,4,4
27,9,7,ChIJIRuUuwNZHS4RrhnXINPqQQ4,5.0,"Tempatnya cozy, tenang, free wifi, dan ada colokan di beberapa meja. Enak untuk nyantai dan ngumpul sm teman atau pun untuk ngerjain tugas. Pas siang2, tempatnya sepi jd enak kalau mau nugas. Disini ada makanan berat, cemilan kyak Japanese Cheese Cake (JCC) dll, dan aneka minuman.
Ada area outdoor dan indoor.",2026-04-21T03:35:13.041802,2026-04-21T03:35:13.041812,,,
31,9,15,ChIJpVctpWBZHS4RdUbSlT-pSl8,5.0,pilihan untuk nugas atau ngegame yang 24 jam,2026-04-21T04:12:37.699702,2026-04-21T04:12:37.700215,,,
34,9,6,ChIJDcJgropZHS4RKuh8s52jy9U,4.0,Americano terdebest yang pernah saya minum,2026-04-23T12:53:23.664164,2026-04-23T12:53:23.690740,,4,5
38,9,15,ChIJpVctpWBZHS4RdUbSlT-pSl8,4.0,enak menu kopi yang ada eskrimnya,2026-04-25T15:26:18.196522,2026-04-25T15:26:18.197806,,4,3
40,9,12,ChIJ4U6K9hdZHS4RKE7QPIKbn4Y,5.0,"Hidden gem di daerah Dansen
Tempatnya lumayan luas walau masuk gang
Terdiri dari 2 lantai",2026-04-30T14:04:00.924500,2026-04-30T14:04:00.925506,,5,4
41,9,12,ChIJ4U6K9hdZHS4RKE7QPIKbn4Y,5.0,"Enak buat kerja, sepi, nyaman seharian, ada ruangan khusus full AC di lantai 2 yang bisa dipakai dengan minimal tagihan tertentu.  Mantap, btw jangan lupa order tahu cabe garam :)",2026-04-30T14:04:22.180261,2026-04-30T14:04:22.180272,,5,5
42,9,12,ChIJ4U6K9hdZHS4RKE7QPIKbn4Y,5.0,"Cafe y cozy bgt wlpn jalan y agak tersembunyi ya.. tp ngak susah koq cari ya... ada 2 lantai... indoor (AC) n outdoor... buat nongkrong oke, buat ngedate bareng laptop juga oke...",2026-04-30T14:04:41.970718,2026-04-30T14:04:41.970729,,5,5
43,9,6,ChIJDcJgropZHS4RKuh8s52jy9U,5.0,"Good place, good coffee. Tempatnya tidak terlalu besar dan tidak terlalu kecil. Cocok untuk wfc karena tidak begitu ribut",2026-04-30T14:05:52.862980,2026-04-30T14:05:52.863533,,5,5
44,9,6,ChIJDcJgropZHS4RKuh8s52jy9U,5.0,"Good place, good coffee. Barista nya enak diajak ngobrol. Beansnya oke. Tempatnya oke dan tenang. Datang pas pagi dan sepi. Enak buat sendirian atau ngobrol yang gak rame.",2026-04-30T14:06:01.353076,2026-04-30T14:06:01.353086,,5,5
45,9,6,ChIJDcJgropZHS4RKuh8s52jy9U,5.0,"Tempatnya asik cocok untuk nugas tentram,menenangkan. untuk cemilan dan minuman Kopi susu caramel, matcha nya enak mantap",2026-04-30T14:06:14.020957,2026-04-30T14:06:14.020968,,5,5
46,9,10,ChIJBVWfsoFZHS4Rakb44yanMjs,5.0,"Kopi 10ribuan yang enak banget
Kemaren beli bundling 25 dapet 3 cup.
Rasanya masih enak walau es nya sudah mencair semua. Rekomen yang gula aren buat yang 10rb",2026-04-30T14:07:18.185870,2026-04-30T14:07:18.186471,,4,4
47,9,10,ChIJBVWfsoFZHS4Rakb44yanMjs,5.0,"Favorit Kopi Susu Aren 10 ribuann terenak. Kopi nya strong, agak kental, es batu nya pas jadi meskipun meleleh tetap terasa.",2026-04-30T14:07:29.462216,2026-04-30T14:07:29.462229,,4,4
